============================================================================================================
Arguments =
	approach: bic
	batch_size: 100
	clipping: 10000
	datasets: ['miniimagenet']
	eval_on_train: False
	exp_name: None
	fix_bn: False
	gpu: 5
	gridsearch_tasks: -1
	keep_existing_head: False
	last_layer_analysis: False
	log: ['disk']
	lr: 0.05
	lr_factor: 1.0
	lr_min: 0.0001
	lr_patience: 5
	momentum: 0.9
	multi_softmax: False
	nc_first_task: 10
	nepochs: 100
	network: resnet18
	no_cudnn_deterministic: False
	num_tasks: 10
	num_workers: 4
	pin_memory: False
	pretrained: False
	results_path: ../miniimagenet_bic_result10t
	save_models: False
	seed: 12
	stop_at_task: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0002
============================================================================================================
Approach arguments =
	T: 2
	lamb: -1
	num_bias_epochs: 200
	val_exemplar_percentage: 0.1
============================================================================================================
Exemplars dataset arguments =
	exemplar_selection: random
	num_exemplars: 0
	num_exemplars_per_class: 50
============================================================================================================
WARNING: ../miniimagenet_bic_result10t/miniimagenet_bic already exists!
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 50 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch  57, time=  1.4s | Train: skip eval | Valid: time=  0.6s loss=1.494, TAw acc= 51.6% |
| Epoch  58, time=  2.2s | Train: skip eval | Valid: time=  0.5s loss=1.481, TAw acc= 53.4% | lr=5.0e-02
| Epoch  59, time=  1.3s | Train: skip eval | Valid: time=  0.5s loss=1.441, TAw acc= 53.8% | *
| Epoch  60, time=  1.5s | Train: skip eval | Valid: time=  0.5s loss=1.506, TAw acc= 51.4% |
| Epoch  61, time=  1.3s | Train: skip eval | Valid: time=  0.7s loss=1.543, TAw acc= 49.8% |
| Epoch  62, time=  1.5s | Train: skip eval | Valid: time=  0.6s loss=1.472, TAw acc= 53.0% |
| Epoch  63, time=  1.4s | Train: skip eval | Valid: time=  1.0s loss=1.584, TAw acc= 49.2% |
| Epoch  64, time=  1.3s | Train: skip eval | Valid: time=  0.5s loss=1.421, TAw acc= 53.4% | *
| Epoch  65, time=  1.4s | Train: skip eval | Valid: time=  0.5s loss=1.501, TAw acc= 50.6% |
| Epoch  66, time=  1.5s | Train: skip eval | Valid: time=  0.5s loss=1.450, TAw acc= 50.6% |
| Epoch  67, time=  1.3s | Train: skip eval | Valid: time=  0.7s loss=1.673, TAw acc= 50.6% |
| Epoch  68, time=  1.4s | Train: skip eval | Valid: time=  0.5s loss=1.366, TAw acc= 54.0% | *
| Epoch  69, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=1.335, TAw acc= 57.0% | *
| Epoch  70, time=  1.4s | Train: skip eval | Valid: time=  0.5s loss=1.435, TAw acc= 54.2% |
| Epoch  71, time=  1.4s | Train: skip eval | Valid: time=  0.4s loss=1.546, TAw acc= 50.6% |
| Epoch  72, time=  1.5s | Train: skip eval | Valid: time=  0.6s loss=1.485, TAw acc= 53.4% |
| Epoch  73, time=  1.4s | Train: skip eval | Valid: time=  0.7s loss=1.363, TAw acc= 56.8% |
| Epoch  74, time=  1.3s | Train: skip eval | Valid: time=  1.1s loss=1.329, TAw acc= 55.8% | *
| Epoch  75, time=  1.2s | Train: skip eval | Valid: time=  0.7s loss=1.446, TAw acc= 54.8% |
| Epoch  76, time=  1.4s | Train: skip eval | Valid: time=  0.5s loss=1.439, TAw acc= 55.0% |
| Epoch  77, time=  1.6s | Train: skip eval | Valid: time=  0.6s loss=1.334, TAw acc= 56.6% |
| Epoch  78, time=  1.4s | Train: skip eval | Valid: time=  0.7s loss=1.414, TAw acc= 56.8% |
| Epoch  79, time=  1.4s | Train: skip eval | Valid: time=  0.6s loss=1.339, TAw acc= 56.0% | lr=5.0e-02
| Epoch  80, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=1.530, TAw acc= 51.6% |
| Epoch  81, time=  1.6s | Train: skip eval | Valid: time=  0.6s loss=1.416, TAw acc= 52.2% |
| Epoch  82, time=  1.4s | Train: skip eval | Valid: time=  0.6s loss=1.583, TAw acc= 51.6% |
| Epoch  83, time=  1.6s | Train: skip eval | Valid: time=  0.5s loss=1.455, TAw acc= 51.6% |
| Epoch  84, time=  1.4s | Train: skip eval | Valid: time=  0.4s loss=1.324, TAw acc= 55.6% | *
