============================================================================================================
Arguments =
	approach: eeil
	batch_size: 100
	clipping: 10000
	datasets: ['miniimagenet']
	eval_on_train: False
	exp_name: None
	fix_bn: False
	gpu: 2
	gridsearch_tasks: -1
	keep_existing_head: False
	last_layer_analysis: False
	log: ['disk']
	lr: 0.05
	lr_factor: 1.0
	lr_min: 0.0001
	lr_patience: 5
	momentum: 0.9
	multi_softmax: False
	nc_first_task: 10
	nepochs: 100
	network: resnet18
	no_cudnn_deterministic: False
	num_tasks: 10
	num_workers: 4
	pin_memory: False
	pretrained: False
	results_path: ../miniimagenet_eeil_result10t
	save_models: False
	seed: 0
	stop_at_task: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0002
============================================================================================================
Approach arguments =
	T: 2.0
	lamb: 1.0
	lr_finetuning_factor: 0.01
	nepochs_finetuning: 40
	noise_grad: False
============================================================================================================
Exemplars dataset arguments =
	exemplar_selection: random
	num_exemplars: 0
	num_exemplars_per_class: 50
============================================================================================================
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  65, time=  1.7s | Train: skip eval | Valid: time=  0.7s loss=1.099, TAw acc= 65.4% |
| Epoch  66, time=  1.6s | Train: skip eval | Valid: time=  0.8s loss=1.081, TAw acc= 63.8% |
| Epoch  67, time=  1.5s | Train: skip eval | Valid: time=  0.5s loss=1.078, TAw acc= 65.4% |
| Epoch  68, time=  1.6s | Train: skip eval | Valid: time=  0.7s loss=1.240, TAw acc= 64.2% | lr=5.0e-02
| Epoch  69, time=  2.0s | Train: skip eval | Valid: time=  1.0s loss=1.223, TAw acc= 59.2% |
| Epoch  70, time=  1.5s | Train: skip eval | Valid: time=  0.8s loss=1.325, TAw acc= 61.4% |
| Epoch  71, time=  1.5s | Train: skip eval | Valid: time=  0.8s loss=1.078, TAw acc= 65.4% |
| Epoch  72, time=  2.6s | Train: skip eval | Valid: time=  0.9s loss=1.144, TAw acc= 64.0% |
| Epoch  73, time=  1.5s | Train: skip eval | Valid: time=  0.7s loss=1.121, TAw acc= 66.0% | lr=5.0e-02
| Epoch  74, time=  1.6s | Train: skip eval | Valid: time=  0.8s loss=5.824, TAw acc= 31.2% |
| Epoch  75, time=  1.5s | Train: skip eval | Valid: time=  0.7s loss=1.164, TAw acc= 60.8% |
| Epoch  76, time=  1.5s | Train: skip eval | Valid: time=  1.3s loss=1.215, TAw acc= 61.2% |
| Epoch  77, time=  1.4s | Train: skip eval | Valid: time=  0.6s loss=1.151, TAw acc= 61.0% |
| Epoch  78, time=  1.4s | Train: skip eval | Valid: time=  0.8s loss=1.183, TAw acc= 61.6% | lr=5.0e-02
| Epoch  79, time=  1.3s | Train: skip eval | Valid: time=  0.6s loss=1.050, TAw acc= 65.6% | *
| Epoch  80, time=  1.4s | Train: skip eval | Valid: time=  0.7s loss=1.134, TAw acc= 64.2% |
| Epoch  81, time=  1.3s | Train: skip eval | Valid: time=  0.6s loss=1.134, TAw acc= 60.0% |
| Epoch  82, time=  1.9s | Train: skip eval | Valid: time=  0.6s loss=1.142, TAw acc= 62.6% |
| Epoch  83, time=  1.5s | Train: skip eval | Valid: time=  0.9s loss=1.095, TAw acc= 66.0% |
| Epoch  84, time=  1.3s | Train: skip eval | Valid: time=  0.8s loss=1.190, TAw acc= 63.2% | lr=5.0e-02
| Epoch  85, time=  1.4s | Train: skip eval | Valid: time=  0.7s loss=1.151, TAw acc= 61.4% |
| Epoch  86, time=  1.4s | Train: skip eval | Valid: time=  0.9s loss=1.160, TAw acc= 62.8% |
| Epoch  87, time=  2.2s | Train: skip eval | Valid: time=  0.8s loss=1.134, TAw acc= 66.0% |
| Epoch  88, time=  1.7s | Train: skip eval | Valid: time=  0.8s loss=1.140, TAw acc= 64.0% |
| Epoch  89, time=  1.5s | Train: skip eval | Valid: time=  0.6s loss=1.257, TAw acc= 61.2% | lr=5.0e-02
| Epoch  90, time=  1.6s | Train: skip eval | Valid: time=  0.7s loss=1.099, TAw acc= 63.4% |
| Epoch  91, time=  1.4s | Train: skip eval | Valid: time=  1.2s loss=1.064, TAw acc= 64.6% |
| Epoch  92, time=  1.4s | Train: skip eval | Valid: time=  0.8s loss=1.262, TAw acc= 61.2% |
| Epoch  93, time=  1.5s | Train: skip eval | Valid: time=  0.7s loss=1.087, TAw acc= 64.2% |
| Epoch  94, time=  1.3s | Train: skip eval | Valid: time=  0.9s loss=1.105, TAw acc= 63.0% | lr=5.0e-02
| Epoch  95, time=  1.5s | Train: skip eval | Valid: time=  0.7s loss=1.134, TAw acc= 62.6% |
| Epoch  96, time=  1.6s | Train: skip eval | Valid: time=  1.2s loss=1.072, TAw acc= 67.2% |
| Epoch  97, time=  1.3s | Train: skip eval | Valid: time=  0.8s loss=1.061, TAw acc= 66.4% |
| Epoch  98, time=  1.4s | Train: skip eval | Valid: time=  0.6s loss=1.239, TAw acc= 57.4% |
| Epoch  99, time=  1.6s | Train: skip eval | Valid: time=  0.6s loss=1.117, TAw acc= 63.0% | lr=5.0e-02
| Epoch 100, time=  1.8s | Train: skip eval | Valid: time=  0.6s loss=1.007, TAw acc= 68.6% | *
| Selected 500 train exemplars, time=  0.0s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=1.065 | TAw acc= 65.4%, forg=  0.0%| TAg acc= 65.4%, forg=  0.0% <<<
Save at ../miniimagenet_eeil_result10t/miniimagenet_eeil
************************************************************************************************************
Task  1
************************************************************************************************************
| Epoch   1, time=  1.8s | Train: skip eval | Valid: time=  0.6s loss=1.468, TAw acc= 54.0% | *
| Epoch   2, time=  1.5s | Train: skip eval | Valid: time=  0.6s loss=1.508, TAw acc= 55.0% |
| Epoch   3, time=  1.7s | Train: skip eval | Valid: time=  0.7s loss=1.505, TAw acc= 58.4% |
| Epoch   4, time=  2.1s | Train: skip eval | Valid: time=  0.6s loss=1.533, TAw acc= 59.6% |
| Epoch   5, time=  2.0s | Train: skip eval | Valid: time=  1.4s loss=2.335, TAw acc= 49.8% |
| Epoch   6, time=  2.0s | Train: skip eval | Valid: time=  0.6s loss=1.304, TAw acc= 59.4% | *
| Epoch   7, time=  1.9s | Train: skip eval | Valid: time=  0.7s loss=1.337, TAw acc= 59.2% |
| Epoch   8, time=  2.0s | Train: skip eval | Valid: time=  0.8s loss=1.293, TAw acc= 60.6% | *
| Epoch   9, time=  1.8s | Train: skip eval | Valid: time=  1.6s loss=1.208, TAw acc= 62.0% | *
| Epoch  10, time=  2.1s | Train: skip eval | Valid: time=  0.9s loss=1.333, TAw acc= 59.4% |
| Epoch  11, time=  1.7s | Train: skip eval | Valid: time=  0.6s loss=1.312, TAw acc= 60.0% |
| Epoch  12, time=  1.9s | Train: skip eval | Valid: time=  0.6s loss=1.319, TAw acc= 60.6% |
| Epoch  13, time=  2.0s | Train: skip eval | Valid: time=  1.5s loss=1.251, TAw acc= 63.2% |
| Epoch  14, time=  1.8s | Train: skip eval | Valid: time=  0.8s loss=1.239, TAw acc= 61.0% | lr=5.0e-02
| Epoch  15, time=  1.9s | Train: skip eval | Valid: time=  0.5s loss=1.231, TAw acc= 62.4% |
| Epoch  16, time=  1.8s | Train: skip eval | Valid: time=  0.6s loss=1.261, TAw acc= 62.4% |
| Epoch  17, time=  1.9s | Train: skip eval | Valid: time=  0.6s loss=1.284, TAw acc= 62.4% |
| Epoch  18, time=  3.2s | Train: skip eval | Valid: time=  0.8s loss=1.271, TAw acc= 63.2% |
| Epoch  19, time=  2.0s | Train: skip eval | Valid: time=  0.8s loss=1.161, TAw acc= 63.8% | *
| Epoch  20, time=  1.8s | Train: skip eval | Valid: time=  0.9s loss=1.319, TAw acc= 60.6% |
| Epoch  21, time=  2.3s | Train: skip eval | Valid: time=  1.2s loss=1.272, TAw acc= 66.0% |
| Epoch  22, time=  2.1s | Train: skip eval | Valid: time=  1.0s loss=1.259, TAw acc= 61.8% |
| Epoch  23, time=  1.9s | Train: skip eval | Valid: time=  0.6s loss=1.191, TAw acc= 62.2% |
| Epoch  24, time=  1.9s | Train: skip eval | Valid: time=  0.7s loss=1.343, TAw acc= 64.2% | lr=5.0e-02
| Epoch  25, time=  2.0s | Train: skip eval | Valid: time=  1.1s loss=1.213, TAw acc= 64.6% |
| Epoch  26, time=  1.7s | Train: skip eval | Valid: time=  0.7s loss=1.234, TAw acc= 62.0% |
| Epoch  27, time=  1.7s | Train: skip eval | Valid: time=  1.0s loss=1.252, TAw acc= 63.2% |
| Epoch  28, time=  1.8s | Train: skip eval | Valid: time=  1.0s loss=1.289, TAw acc= 59.0% |
| Epoch  29, time=  1.9s | Train: skip eval | Valid: time=  1.7s loss=1.250, TAw acc= 61.2% | lr=5.0e-02
| Epoch  30, time=  1.9s | Train: skip eval | Valid: time=  0.7s loss=1.225, TAw acc= 63.2% |
| Epoch  31, time=  2.0s | Train: skip eval | Valid: time=  0.9s loss=1.206, TAw acc= 62.2% |
| Epoch  32, time=  1.6s | Train: skip eval | Valid: time=  0.9s loss=1.098, TAw acc= 67.2% | *
| Epoch  33, time=  1.8s | Train: skip eval | Valid: time=  0.7s loss=1.240, TAw acc= 65.0% |
| Epoch  34, time=  2.4s | Train: skip eval | Valid: time=  0.8s loss=1.278, TAw acc= 62.0% |
| Epoch  35, time=  1.8s | Train: skip eval | Valid: time=  0.8s loss=1.158, TAw acc= 63.2% |
| Epoch  36, time=  1.5s | Train: skip eval | Valid: time=  0.9s loss=1.330, TAw acc= 60.6% |
| Epoch  37, time=  1.7s | Train: skip eval | Valid: time=  1.0s loss=1.167, TAw acc= 65.8% | lr=5.0e-02
| Epoch  38, time=  3.0s | Train: skip eval | Valid: time=  0.7s loss=1.194, TAw acc= 60.8% |
| Epoch  39, time=  1.9s | Train: skip eval | Valid: time=  0.6s loss=1.296, TAw acc= 63.8% |
| Epoch  40, time=  1.8s | Train: skip eval | Valid: time=  0.6s loss=1.161, TAw acc= 66.4% |
| Epoch  41, time=  2.0s | Train: skip eval | Valid: time=  0.8s loss=1.316, TAw acc= 62.8% |
| Epoch  42, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=1.209, TAw acc= 63.8% | lr=5.0e-02
| Epoch  43, time=  1.7s | Train: skip eval | Valid: time=  0.7s loss=1.200, TAw acc= 66.6% |
| Epoch  44, time=  1.9s | Train: skip eval | Valid: time=  0.7s loss=1.154, TAw acc= 66.0% |
| Epoch  45, time=  1.8s | Train: skip eval | Valid: time=  0.7s loss=1.245, TAw acc= 63.0% |
| Epoch  46, time=  1.8s | Train: skip eval | Valid: time=  0.8s loss=1.179, TAw acc= 66.8% |
| Epoch  47, time=  1.7s | Train: skip eval | Valid: time=  0.7s loss=1.048, TAw acc= 68.8% | *
| Epoch  48, time=  1.8s | Train: skip eval | Valid: time=  0.6s loss=1.169, TAw acc= 66.0% |
| Epoch  49, time=  1.8s | Train: skip eval | Valid: time=  0.6s loss=1.319, TAw acc= 61.4% |
| Epoch  50, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=1.084, TAw acc= 67.8% |
| Epoch  51, time=  2.8s | Train: skip eval | Valid: time=  0.8s loss=1.133, TAw acc= 67.2% |
